dimension,value_dimension,seed,S_max_absolute_error,C_max_absolute_error,read_max_absolute_error,oracle_read_max_absolute_error,variance_oracle_absolute_error,S_symmetry_max_absolute_error,S_minimum_eigenvalue,system_condition_number
2,2,0,2.220446049250313e-16,4.440892098500626e-16,0.0,2.7755575615628914e-17,0.0,0.0,1.1986733891014847,4.063415613081723
2,2,1,4.440892098500626e-16,2.220446049250313e-16,6.661338147750939e-16,3.3306690738754696e-16,1.3322676295501878e-15,0.0,0.6827437472789842,8.918449646600019
2,2,2,8.881784197001252e-16,8.881784197001252e-16,6.661338147750939e-16,2.220446049250313e-16,0.0,0.0,4.8262074668975385,1.4890325134343876
2,2,3,8.881784197001252e-16,6.661338147750939e-16,4.718447854656915e-16,4.440892098500626e-16,1.1102230246251565e-16,0.0,1.0565491497874924,4.3987362142703255
2,2,4,8.881784197001252e-16,0.0,0.0,2.220446049250313e-16,2.7755575615628914e-17,0.0,2.3064710018635073,2.7132931410578784
4,4,0,4.440892098500626e-16,4.440892098500626e-16,2.7755575615628914e-16,2.220446049250313e-16,0.0,0.0,0.19600188574528374,20.16136536836225
4,4,1,4.440892098500626e-16,3.3306690738754696e-16,2.6645352591003757e-15,1.7763568394002505e-15,7.105427357601002e-15,0.0,0.17944617845671193,24.821574839850157
4,4,2,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,4.440892098500626e-16,8.881784197001252e-16,0.0,0.7906990400900483,6.930589540763937
4,4,3,2.220446049250313e-16,4.440892098500626e-16,4.440892098500626e-16,8.881784197001252e-16,0.0,0.0,0.3390544469866772,9.62953051707904
4,4,4,2.220446049250313e-16,4.440892098500626e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,0.4704242755489507,9.82849748883564
8,8,0,1.1102230246251565e-16,4.440892098500626e-16,3.552713678800501e-14,2.842170943040401e-14,9.947598300641403e-14,0.0,0.0461515568374639,71.06436497850954
8,8,1,1.1102230246251565e-16,4.440892098500626e-16,1.9539925233402755e-14,1.7763568394002505e-14,1.4210854715202004e-14,0.0,0.027380825116711978,114.45441668703297
8,8,2,4.440892098500626e-16,8.881784197001252e-16,2.3092638912203256e-14,7.993605777301127e-15,0.0,0.0,0.10995158933532084,43.10583777702964
8,8,3,2.220446049250313e-16,8.881784197001252e-16,5.329070518200751e-15,2.220446049250313e-15,7.105427357601002e-15,0.0,0.06048398889561348,45.571121086817655
8,8,4,2.220446049250313e-16,4.440892098500626e-16,6.661338147750939e-15,3.552713678800501e-15,7.105427357601002e-15,0.0,0.048949647092390886,62.583298852643246
16,8,0,1.1102230246251565e-16,4.440892098500626e-16,2.5579538487363607e-13,1.1368683772161603e-13,4.547473508864641e-13,0.0,0.0025106047705439056,890.680850593909
16,8,1,1.1102230246251565e-16,4.440892098500626e-16,1.7053025658242404e-13,7.105427357601002e-14,2.8421709430404007e-12,0.0,0.004389907277295936,548.9283800670232
16,8,2,2.220446049250313e-16,4.440892098500626e-16,2.8066438062523957e-13,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0045520561295736605,676.2287091228611
16,8,3,1.6653345369377348e-16,6.661338147750939e-16,8.526512829121202e-14,7.105427357601002e-14,5.684341886080801e-13,0.0,0.002628399077313826,522.0589795255404
16,8,4,1.1102230246251565e-16,4.440892098500626e-16,5.861977570020827e-14,1.1368683772161603e-13,6.821210263296962e-12,0.0,0.0006202669957541599,1586.1739803616144
32,8,0,1.1102230246251565e-16,4.440892098500626e-16,2.2737367544323206e-12,1.1368683772161603e-12,2.9103830456733704e-11,0.0,-1.0742114680566962e-16,3224.862174454768
32,8,1,5.551115123125783e-17,4.440892098500626e-16,1.8189894035458565e-12,1.8189894035458565e-12,6.912159733474255e-11,0.0,-2.3784468392946475e-16,3228.326685946719
32,8,2,1.1102230246251565e-16,4.440892098500626e-16,9.094947017729282e-13,7.958078640513122e-13,2.255546860396862e-10,0.0,-2.8329421512630353e-16,3033.9810363511224
32,8,3,1.1102230246251565e-16,4.440892098500626e-16,1.1368683772161603e-12,7.958078640513122e-13,1.127773430198431e-10,0.0,-1.6609984702197628e-16,1968.8505426598656
32,8,4,8.326672684688674e-17,4.440892098500626e-16,1.3642420526593924e-12,7.958078640513122e-13,3.346940502524376e-10,0.0,-2.8555205003036587e-16,2511.644064416373
