architecture,seed,context_length,validation_tokens,validation_loss,validation_perplexity
transformer,0,128,262144,1.2019316144287586,3.3265363063807416
transformer,0,256,262144,1.175851322710514,3.2409008222216267
transformer,0,512,262144,2.533656656742096,12.599494029246019
transformer,0,1024,262144,3.1562835574150085,23.483159739032402
csm,0,128,262144,1.2188670001924038,3.383352223797096
csm,0,256,262144,1.1967271342873573,3.3092683884798655
csm,0,512,262144,2.671369969844818,14.459765071939755
csm,0,1024,262144,3.783342480659485,43.96274104086647
transformer,1,128,262144,1.209611751139164,3.3521829186675403
transformer,1,256,262144,1.1866179704666138,3.2759829795069058
transformer,1,512,262144,2.7550033926963806,15.721094239612645
transformer,1,1024,262144,3.350954830646515,28.52996192448957
csm,1,128,262144,1.2180823497474194,3.3806985162217216
csm,1,256,262144,1.1955559998750687,3.3053950589280894
csm,1,512,262144,2.605822056531906,13.542353308190576
csm,1,1024,262144,3.524002432823181,33.919919334926234
transformer,2,128,262144,1.2135597951710224,3.365443644172748
transformer,2,256,262144,1.1893874183297157,3.285068218309793
transformer,2,512,262144,2.9671405255794525,19.436262563393214
transformer,2,1024,262144,4.522825002670288,92.09540058642105
csm,2,128,262144,1.2367405705153942,3.4443684724334562
csm,2,256,262144,1.215214416384697,3.371016788069382
csm,2,512,262144,2.509061276912689,12.293384558437367
csm,2,1024,262144,3.1523647904396057,23.391314785191476
