architecture,seed,context_length,decode_tokens,decode_microseconds_per_token,decode_tokens_per_second,actual_state_bytes,decode_peak_vram_bytes
transformer,0,128,8,1123.8729999831776,889.7802509847361,4456448,1313107456
transformer,0,512,8,1113.7040623907524,897.9045994079723,17039360,1349438976
transformer,0,2048,8,1207.2044374917823,828.3601094754982,67371008,1437859328
csm,0,128,8,3711.7354374913702,269.4157535850304,786432,1550596096
csm,0,512,8,3790.5850625747917,263.8115181408804,786432,1550596096
csm,0,2048,8,3807.65324996446,262.62895656513206,786432,1550596096
transformer,1,128,8,1245.711562546603,802.754048421694,4456448,1582067200
transformer,1,512,8,1192.6555624768298,838.4650451160139,17039360,1617729024
transformer,1,2048,8,1254.010750017187,797.4413297384367,67371008,1711529472
csm,1,128,8,4207.321437547762,237.68091286670273,786432,1550596096
csm,1,512,8,4289.237249963662,233.14168504166372,786432,1550596096
csm,1,2048,8,4035.9919374850506,247.7705643344596,786432,1550596096
transformer,2,128,8,1246.5686249925056,802.2021250583072,4456448,1583640064
transformer,2,512,8,1136.6918749899924,879.7458854087473,17039360,1615228416
transformer,2,2048,8,1221.7542499683987,818.495208857154,67371008,1709444608
csm,2,128,8,3837.2895625116143,260.6006098078957,786432,1548498944
csm,2,512,8,3805.777812431188,262.75837668021535,786432,1548498944
csm,2,2048,8,3763.455500006785,265.71325208925606,786432,1548498944
