architecture,length_regime,task,examples,teacher_forced_exact_rate,token_accuracy,target_nll,autoregressive_examples,autoregressive_exact_rate,seed
transformer,trained_length,associative_recall,32,0.0,0.15625,2.2203530818223953,4,0.0,0
transformer,trained_length,variable_tracking,32,0.0,0.140625,2.244848392903805,4,0.0,0
transformer,trained_length,repeated_name_recall,32,0.34375,0.8194444444444444,0.3465217513342698,4,0.5,0
transformer,trained_length,exact_value_retrieval,32,0.0,0.08125,2.2872399389743805,4,0.0,0
transformer,trained_length,in_context_regression,32,0.15625,0.5492957746478874,1.2700019923733994,4,0.25,0
transformer,trained_length,multi_hop,32,0.09375,0.09375,3.162857487797737,4,0.0,0
transformer,long_context,associative_recall,32,0.0,0.125,2.2562524527311325,4,0.0,0
transformer,long_context,variable_tracking,32,0.0,0.078125,2.2510952204465866,4,0.0,0
transformer,long_context,repeated_name_recall,32,0.4375,0.8541666666666666,0.3608391611940331,4,0.25,0
transformer,long_context,exact_value_retrieval,32,0.0,0.11875,2.2794393241405486,4,0.0,0
transformer,long_context,in_context_regression,32,0.0625,0.43478260869565216,1.372953140217325,4,0.25,0
transformer,long_context,multi_hop,32,0.0625,0.0625,3.173533149063587,4,0.25,0
csm,trained_length,associative_recall,32,0.03125,0.140625,2.2481077387928963,4,0.0,0
csm,trained_length,variable_tracking,32,0.03125,0.109375,2.26351311057806,4,0.0,0
csm,trained_length,repeated_name_recall,32,0.25,0.8125,0.35915105003449654,4,0.5,0
csm,trained_length,exact_value_retrieval,32,0.0,0.1125,2.273261195421219,4,0.0,0
csm,trained_length,in_context_regression,32,0.09375,0.4507042253521127,1.5095555916638441,4,0.0,0
csm,trained_length,multi_hop,32,0.03125,0.03125,3.119101829826832,4,0.0,0
csm,long_context,associative_recall,32,0.0,0.09375,2.234226532280445,4,0.0,0
csm,long_context,variable_tracking,32,0.0,0.140625,2.24079267680645,4,0.0,0
csm,long_context,repeated_name_recall,32,0.25,0.8333333333333334,0.40089252384172547,4,0.25,0
csm,long_context,exact_value_retrieval,32,0.0,0.10625,2.2868317544460295,4,0.0,0
csm,long_context,in_context_regression,32,0.0,0.391304347826087,2.6566850309786587,4,0.0,0
csm,long_context,multi_hop,32,0.09375,0.09375,3.160134047269821,4,0.0,0
transformer,trained_length,associative_recall,32,0.0,0.0625,2.250770390033722,4,0.0,1
transformer,trained_length,variable_tracking,32,0.0,0.125,2.253408409655094,4,0.0,1
transformer,trained_length,repeated_name_recall,32,0.40625,0.841726618705036,0.3372366136784176,4,0.5,1
transformer,trained_length,exact_value_retrieval,32,0.0,0.10625,2.2827825844287872,4,0.0,1
transformer,trained_length,in_context_regression,32,0.03125,0.47297297297297297,1.3170149390761916,4,0.0,1
transformer,trained_length,multi_hop,32,0.0,0.0,3.1600947603583336,4,0.0,1
