architecture,context_length,batch_size,forward_milliseconds,timing_cv,tokens_per_second,peak_vram_bytes,recurrent_state_bytes,seed
transformer,128,2,2.356589999180869,0.01865019043870779,108631.53967766283,1308104704,4194304,0
transformer,256,2,2.384073999564862,0.03800406644430097,214758.43455087786,1310220288,8388608,0
transformer,512,2,2.354723999815178,0.049656820040618305,434870.4986573261,1322278912,16777216,0
transformer,1024,2,2.3934620003274176,0.021996027045108044,855664.3053952144,1335386112,33554432,0
transformer,2048,2,3.003695999723277,0.007093576004210727,1363653.312578022,1369989120,67108864,0
csm,128,2,9.2826359996252,0.01978436093499958,27578.37321320543,1583161856,786432,0
csm,256,2,10.362250000980566,0.03147029236226385,49410.11845415331,1623450112,786432,0
csm,512,2,12.418305001119734,0.01407887895325979,82458.91850036442,1706123776,786432,0
csm,1024,2,18.291373999090865,0.013341589335466345,111965.34498183633,1870422528,786432,0
csm,2048,2,34.4697479995375,0.0010533403218690087,118828.83507169702,2189058560,786432,0
transformer,128,2,2.796536000460037,0.0417082854800443,91541.8217244074,1578131456,4194304,1
transformer,256,2,2.647213999807718,0.020837943711516798,193410.88406044597,1581277184,8388608,1
transformer,512,2,2.4355330006073928,0.018196592622707834,420441.84979001584,1593860096,16777216,1
transformer,1024,2,2.4893369991332293,0.038572988010546656,822709.0187921925,1606443008,33554432,1
transformer,2048,2,2.9825370002072304,0.004547435794641187,1373327.4724556324,1638948864,67108864,1
csm,128,2,9.900510000079521,0.003563746672581067,25857.25381802996,1583161856,786432,1
csm,256,2,10.822898999322206,0.004992874013834884,47307.10321070764,1623450112,786432,1
csm,512,2,12.822519000110333,0.003375406748558431,79859.50342449786,1704026624,786432,1
csm,1024,2,18.520592000641045,0.011096515001089553,110579.61861743477,1865179648,786432,1
csm,2048,2,34.609767000802094,0.002305157292058406,118348.09520402359,2188534272,786432,1
transformer,128,2,2.6959030001307838,0.044909858252696125,94958.90615781833,1577064448,4194304,2
transformer,256,2,2.4184140002034837,0.04243971862672178,211708.99604324184,1580752896,8388608,2
transformer,512,2,2.6398429999971995,0.01884754832780592,387901.8562850466,1593335808,16777216,2
transformer,1024,2,2.679180999621167,0.031770169723300476,764412.7068270433,1606967296,33554432,2
transformer,2048,2,3.022224000233109,0.005087868479380099,1355293.320311158,1637376000,67108864,2
csm,128,2,9.238136000931263,0.019005599578012376,27711.217931214,1581064704,786432,2
csm,256,2,10.62791699951049,0.026738465219755054,48175.00927261496,1621352960,786432,2
csm,512,2,12.201100000311271,0.03776752086747887,83926.85905155075,1702453760,786432,2
csm,1024,2,18.04855999944266,0.004667531826437121,113471.65646806406,1863606784,786432,2
csm,2048,2,34.362031999989995,0.001220617203462576,119201.33244742897,2185912832,786432,2
