d_key,d_value,associations,method,state_bytes,estimated_flops_per_query,median_microseconds_per_query
16,16,16,csm,4096,1024,2.94517578125
16,16,16,hebbian,2048,512,0.083091796875
16,16,16,softmax,4096,1104,0.16403125
16,16,16,linear_attention,2176,576,0.194994140625
16,16,16,least_squares,4096,1024,0.105880859375
32,16,32,csm,12288,3072,3.050935546875
32,16,32,hebbian,4096,1024,0.085064453125
32,16,32,softmax,12288,3232,0.16446484375
32,16,32,linear_attention,4352,1136,0.197498046875
32,16,32,least_squares,12288,3072,0.111408203125
64,16,64,csm,40960,10240,3.39922265625
64,16,64,hebbian,8192,2048,0.087705078125
64,16,64,softmax,40960,10560,0.166984375
64,16,64,linear_attention,8704,2256,0.19644921875
64,16,64,least_squares,40960,10240,0.116580078125
