experiment,fairness,d_key,d_value,associations,seed,key_regime,coefficient_kind,coefficient_sum,coefficient_minimum,coefficient_maximum,method,state_bytes,budget_bytes,budget_fraction,estimated_flops_per_query,selected_temperature,absolute_error,relative_error,convex_hull_distance,error_minus_hull_distance,minimum_softmax_weight,softmax_weight_sum_error
linear_functional,same_dimension,16,16,16,0,random_gaussian,positive_simplex,1.0,0.007352941176470588,0.11764705882352941,csm,4096,4096,1.0,1024,nan,2.465456627973007e-10,8.669029453282007e-10,3.3993498887762956e-17,nan,nan,nan
linear_functional,same_dimension,16,16,16,0,random_gaussian,positive_simplex,1.0,0.007352941176470588,0.11764705882352941,hebbian,2048,4096,0.5,512,nan,0.2917454526547505,1.025834278822614,3.3993498887762956e-17,nan,nan,nan
linear_functional,same_dimension,16,16,16,0,random_gaussian,positive_simplex,1.0,0.007352941176470588,0.11764705882352941,softmax,4096,4096,1.0,1104,1.0,0.12627135123054553,0.4439948569783971,3.3993498887762956e-17,0.1262713512305455,0.05667906975035588,0.0
linear_functional,same_dimension,16,16,16,0,random_gaussian,positive_simplex,1.0,0.007352941176470588,0.11764705882352941,linear_attention,2176,4096,0.53125,576,nan,0.13560922060930028,0.4768286386628386,3.3993498887762956e-17,nan,nan,nan
linear_functional,same_dimension,16,16,16,0,random_gaussian,positive_simplex,1.0,0.007352941176470588,0.11764705882352941,least_squares,4096,4096,1.0,1024,nan,8.823234881598837e-16,3.102422577382405e-15,3.3993498887762956e-17,nan,nan,nan
linear_functional,equal_state_budget,16,16,16,0,random_gaussian,positive_simplex,1.0,0.007352941176470588,0.11764705882352941,csm,4096,4096,1.0,1024,nan,2.465456627973007e-10,8.669029453282007e-10,3.3993498887762956e-17,nan,nan,nan
linear_functional,equal_state_budget,16,16,16,0,random_gaussian,positive_simplex,1.0,0.007352941176470588,0.11764705882352941,hebbian,2048,4096,0.5,512,nan,0.2917454526547505,1.025834278822614,3.3993498887762956e-17,nan,nan,nan
linear_functional,equal_state_budget,16,16,16,0,random_gaussian,positive_simplex,1.0,0.007352941176470588,0.11764705882352941,softmax,4096,4096,1.0,1104,1.0,0.12627135123054553,0.4439948569783971,3.3993498887762956e-17,0.1262713512305455,0.05667906975035588,0.0
linear_functional,equal_state_budget,16,16,16,0,random_gaussian,positive_simplex,1.0,0.007352941176470588,0.11764705882352941,linear_attention,2176,4096,0.53125,576,nan,0.13560922060930028,0.4768286386628386,3.3993498887762956e-17,nan,nan,nan
linear_functional,equal_state_budget,16,16,16,0,random_gaussian,positive_simplex,1.0,0.007352941176470588,0.11764705882352941,least_squares,4096,4096,1.0,1024,nan,8.823234881598837e-16,3.102422577382405e-15,3.3993498887762956e-17,nan,nan,nan
linear_functional,same_dimension,16,16,16,0,random_gaussian,negative_coefficients,0.3999999910593033,-0.6000000238418579,0.800000011920929,csm,4096,4096,1.0,1024,nan,4.593079689216935e-09,4.192888829953186e-09,0.6480740955929359,nan,nan,nan
linear_functional,same_dimension,16,16,16,0,random_gaussian,negative_coefficients,0.3999999910593033,-0.6000000238418579,0.800000011920929,hebbian,2048,4096,0.5,512,nan,0.8983815666295456,0.8201063971522476,0.6480740955929359,nan,nan,nan
linear_functional,same_dimension,16,16,16,0,random_gaussian,negative_coefficients,0.3999999910593033,-0.6000000238418579,0.800000011920929,softmax,4096,4096,1.0,1104,0.1,0.7345586911070685,0.670557259896562,0.6480740955929359,0.08648459551413257,2.5084976030520456e-06,1.1102230246251565e-16
linear_functional,same_dimension,16,16,16,0,random_gaussian,negative_coefficients,0.3999999910593033,-0.6000000238418579,0.800000011920929,linear_attention,2176,4096,0.53125,576,nan,1.0950620292208706,0.9996502697754954,0.6480740955929359,nan,nan,nan
linear_functional,same_dimension,16,16,16,0,random_gaussian,negative_coefficients,0.3999999910593033,-0.6000000238418579,0.800000011920929,least_squares,4096,4096,1.0,1024,nan,2.269089479743219e-15,2.0713857754559576e-15,0.6480740955929359,nan,nan,nan
