data_model,sigma,repeats,seed,method,mean_squared_error,p90_squared_error,selected_temperature,csm_oracle_relative_difference,gaussian_unregularized_expected_risk
linear_gaussian,0.1,1,0,csm,0.05320638545103319,0.09412101768483538,nan,2.334644148703058e-16,0.04000000000000001
linear_gaussian,0.1,1,0,simple_average,0.05320638546288642,0.09412101769512131,nan,nan,0.04000000000000001
linear_gaussian,0.1,1,0,hebbian,0.05320638546288642,0.09412101769512131,nan,nan,0.04000000000000001
linear_gaussian,0.1,1,0,softmax,0.05316459615603407,0.09407045995411474,0.1,nan,0.04000000000000001
linear_gaussian,0.1,1,0,oracle_ridge,0.05320638545103319,0.09412101768483537,nan,nan,0.04000000000000001
linear_gaussian,0.1,1,1,csm,0.032846884625063626,0.048790173660567794,nan,2.326321126716891e-16,0.04000000000000001
linear_gaussian,0.1,1,1,simple_average,0.03284688463263244,0.048790173670796654,nan,nan,0.04000000000000001
linear_gaussian,0.1,1,1,hebbian,0.03284688463263245,0.04879017367079668,nan,nan,0.04000000000000001
linear_gaussian,0.1,1,1,softmax,0.032825120633044685,0.048748548073776925,0.1,nan,0.04000000000000001
linear_gaussian,0.1,1,1,oracle_ridge,0.032846884625063626,0.0487901736605678,nan,nan,0.04000000000000001
linear_gaussian,0.1,1,2,csm,0.05129864719287739,0.10167744096632908,nan,3.1384411632887134e-16,0.04000000000000001
linear_gaussian,0.1,1,2,simple_average,0.051298647200390644,0.10167744098844748,nan,nan,0.04000000000000001
linear_gaussian,0.1,1,2,hebbian,0.05129864720039065,0.10167744098844753,nan,nan,0.04000000000000001
linear_gaussian,0.1,1,2,softmax,0.051279255883937835,0.10162933398760489,0.1,nan,0.04000000000000001
linear_gaussian,0.1,1,2,oracle_ridge,0.05129864719287736,0.10167744096632905,nan,nan,0.04000000000000001
linear_gaussian,0.1,1,3,csm,0.03253711985303302,0.04864835801372142,nan,3.2034888171747456e-16,0.04000000000000001
linear_gaussian,0.1,1,3,simple_average,0.03253711986140265,0.048648358027293004,nan,nan,0.04000000000000001
linear_gaussian,0.1,1,3,hebbian,0.03253711986140264,0.048648358027293025,nan,nan,0.04000000000000001
linear_gaussian,0.1,1,3,softmax,0.03250846534783221,0.04859140507791412,0.1,nan,0.04000000000000001
linear_gaussian,0.1,1,3,oracle_ridge,0.03253711985303302,0.04864835801372142,nan,nan,0.04000000000000001
linear_gaussian,0.1,1,4,csm,0.03186494471792598,0.060572086457649624,nan,3.458040273582467e-16,0.04000000000000001
linear_gaussian,0.1,1,4,simple_average,0.03186494471947244,0.06057208647343827,nan,nan,0.04000000000000001
linear_gaussian,0.1,1,4,hebbian,0.031864944719472446,0.06057208647343827,nan,nan,0.04000000000000001
linear_gaussian,0.1,1,4,softmax,0.03186144991047821,0.060521630568550595,0.1,nan,0.04000000000000001
linear_gaussian,0.1,1,4,oracle_ridge,0.03186494471792598,0.06057208645764966,nan,nan,0.04000000000000001
linear_gaussian,0.1,1,5,csm,0.043929381217204126,0.06642414835906452,nan,2.6743304783194343e-16,0.04000000000000001
linear_gaussian,0.1,1,5,simple_average,0.04392938122832947,0.06642414837599146,nan,nan,0.04000000000000001
linear_gaussian,0.1,1,5,hebbian,0.04392938122832947,0.06642414837599146,nan,nan,0.04000000000000001
linear_gaussian,0.1,1,5,softmax,0.04389077574931415,0.0663607267225812,0.1,nan,0.04000000000000001
linear_gaussian,0.1,1,5,oracle_ridge,0.04392938121720412,0.06642414835906454,nan,nan,0.04000000000000001
linear_gaussian,0.1,1,6,csm,0.029933660737452336,0.042331471458683136,nan,3.1118980378390033e-16,0.04000000000000001
linear_gaussian,0.1,1,6,simple_average,0.029933660742810116,0.042331471475542205,nan,nan,0.04000000000000001
linear_gaussian,0.1,1,6,hebbian,0.02993366074281012,0.04233147147554218,nan,nan,0.04000000000000001
linear_gaussian,0.1,1,6,softmax,0.02992100669986069,0.04227840657236786,0.1,nan,0.04000000000000001
linear_gaussian,0.1,1,6,oracle_ridge,0.02993366073745234,0.04233147145868313,nan,nan,0.04000000000000001
linear_gaussian,0.1,1,7,csm,0.03884123297510761,0.05707525763857684,nan,2.9606017097359955e-16,0.04000000000000001
linear_gaussian,0.1,1,7,simple_average,0.03884123298170383,0.05707525766101726,nan,nan,0.04000000000000001
linear_gaussian,0.1,1,7,hebbian,0.038841232981703826,0.057075257661017245,nan,nan,0.04000000000000001
linear_gaussian,0.1,1,7,softmax,0.03881525572170398,0.057005922641431214,0.1,nan,0.04000000000000001
linear_gaussian,0.1,1,7,oracle_ridge,0.0388412329751076,0.05707525763857682,nan,nan,0.04000000000000001
linear_gaussian,0.1,1,8,csm,0.04877362059704407,0.09037250698260206,nan,2.36669160408771e-16,0.04000000000000001
linear_gaussian,0.1,1,8,simple_average,0.04877362060806921,0.09037250699051282,nan,nan,0.04000000000000001
linear_gaussian,0.1,1,8,hebbian,0.04877362060806922,0.09037250699051283,nan,nan,0.04000000000000001
linear_gaussian,0.1,1,8,softmax,0.04873604405537783,0.09034365733588014,0.1,nan,0.04000000000000001
linear_gaussian,0.1,1,8,oracle_ridge,0.04877362059704408,0.09037250698260205,nan,nan,0.04000000000000001
linear_gaussian,0.1,1,9,csm,0.03350650796775259,0.046210222620692167,nan,3.8291224643905075e-16,0.04000000000000001
linear_gaussian,0.1,1,9,simple_average,0.03350650797747813,0.046210222619406285,nan,nan,0.04000000000000001
linear_gaussian,0.1,1,9,hebbian,0.0335065079774781,0.04621022261940621,nan,nan,0.04000000000000001
linear_gaussian,0.1,1,9,softmax,0.03347167766825861,0.04621686422350802,0.1,nan,0.04000000000000001
linear_gaussian,0.1,1,9,oracle_ridge,0.03350650796775259,0.04621022262069215,nan,nan,0.04000000000000001
linear_gaussian,0.1,1,10,csm,0.04460198466311717,0.06569708114523405,nan,3.2583046458666324e-16,0.04000000000000001
linear_gaussian,0.1,1,10,simple_average,0.044601984665866165,0.06569708115288853,nan,nan,0.04000000000000001
linear_gaussian,0.1,1,10,hebbian,0.04460198466586619,0.06569708115288858,nan,nan,0.04000000000000001
linear_gaussian,0.1,1,10,softmax,0.044601984665866165,0.06569708115288853,0.001,nan,0.04000000000000001
linear_gaussian,0.1,1,10,oracle_ridge,0.04460198466311718,0.06569708114523405,nan,nan,0.04000000000000001
linear_gaussian,0.1,1,11,csm,0.034820347220252255,0.061243363943624875,nan,2.608291506657104e-16,0.04000000000000001
linear_gaussian,0.1,1,11,simple_average,0.03482034722614192,0.06124336396178981,nan,nan,0.04000000000000001
linear_gaussian,0.1,1,11,hebbian,0.03482034722614191,0.06124336396178978,nan,nan,0.04000000000000001
linear_gaussian,0.1,1,11,softmax,0.03480031792076298,0.061182242581634495,0.1,nan,0.04000000000000001
linear_gaussian,0.1,1,11,oracle_ridge,0.03482034722025226,0.06124336394362487,nan,nan,0.04000000000000001
linear_gaussian,0.1,1,12,csm,0.03336920684958887,0.05354218251558809,nan,2.8551752361686173e-16,0.04000000000000001
linear_gaussian,0.1,1,12,simple_average,0.033369206854556376,0.05354218252081085,nan,nan,0.04000000000000001
linear_gaussian,0.1,1,12,hebbian,0.033369206854556376,0.053542182520810874,nan,nan,0.04000000000000001
linear_gaussian,0.1,1,12,softmax,0.03335541986926802,0.0535304558523258,0.1,nan,0.04000000000000001
linear_gaussian,0.1,1,12,oracle_ridge,0.03336920684958887,0.053542182515588115,nan,nan,0.04000000000000001
linear_gaussian,0.1,1,13,csm,0.038679267659433095,0.08891749332285859,nan,2.5074072411635374e-16,0.04000000000000001
linear_gaussian,0.1,1,13,simple_average,0.03867926766289857,0.08891749332690574,nan,nan,0.04000000000000001
linear_gaussian,0.1,1,13,hebbian,0.03867926766289857,0.08891749332690572,nan,nan,0.04000000000000001
linear_gaussian,0.1,1,13,softmax,0.03866624388622716,0.08889613205777246,0.1,nan,0.04000000000000001
linear_gaussian,0.1,1,13,oracle_ridge,0.03867926765943311,0.08891749332285862,nan,nan,0.04000000000000001
linear_gaussian,0.1,1,14,csm,0.049352036689742154,0.101555740644364,nan,2.9370851878587677e-16,0.04000000000000001
linear_gaussian,0.1,1,14,simple_average,0.04935203670458179,0.10155574067612459,nan,nan,0.04000000000000001
linear_gaussian,0.1,1,14,hebbian,0.049352036704581756,0.10155574067612458,nan,nan,0.04000000000000001
