data_model,pattern,sigmas,seed,method,squared_error,weighted_to_analytic_error,gaussian_expected_weighted_risk,gaussian_expected_uniform_risk
linear_gaussian,0,0.1;1.0,0,precision_weighted_csm,0.04062347811901672,1.5099565256855822e-10,0.03960396039603961,1.01
linear_gaussian,0,0.1;1.0,0,uniform_csm,0.5380304589574453,nan,0.03960396039603961,1.01
linear_gaussian,0,0.1;1.0,0,analytic_precision_mean,0.040623478076868794,nan,0.03960396039603961,1.01
linear_gaussian,0,0.1;1.0,1,precision_weighted_csm,0.08072500465221556,1.6130955426307458e-10,0.03960396039603961,1.01
linear_gaussian,0,0.1;1.0,1,uniform_csm,0.5232639350308528,nan,0.03960396039603961,1.01
linear_gaussian,0,0.1;1.0,1,analytic_precision_mean,0.08072500464258185,nan,0.03960396039603961,1.01
linear_gaussian,0,0.1;1.0,2,precision_weighted_csm,0.07055434096634287,1.834541359693031e-10,0.03960396039603961,1.01
linear_gaussian,0,0.1;1.0,2,uniform_csm,0.7144237749904044,nan,0.03960396039603961,1.01
linear_gaussian,0,0.1;1.0,2,analytic_precision_mean,0.07055434099530389,nan,0.03960396039603961,1.01
linear_gaussian,0,0.1;1.0,3,precision_weighted_csm,0.03152478794706188,1.601633194547129e-10,0.03960396039603961,1.01
linear_gaussian,0,0.1;1.0,3,uniform_csm,0.4469566682493876,nan,0.03960396039603961,1.01
linear_gaussian,0,0.1;1.0,3,analytic_precision_mean,0.03152478792395146,nan,0.03960396039603961,1.01
linear_gaussian,0,0.1;1.0,4,precision_weighted_csm,0.0680218762980238,1.311062952588634e-10,0.03960396039603961,1.01
linear_gaussian,0,0.1;1.0,4,uniform_csm,0.8827671585221586,nan,0.03960396039603961,1.01
linear_gaussian,0,0.1;1.0,4,analytic_precision_mean,0.06802187635455313,nan,0.03960396039603961,1.01
linear_gaussian,0,0.1;1.0,5,precision_weighted_csm,0.028970464679508652,2.5901003795413615e-10,0.03960396039603961,1.01
linear_gaussian,0,0.1;1.0,5,uniform_csm,0.6313545142866437,nan,0.03960396039603961,1.01
linear_gaussian,0,0.1;1.0,5,analytic_precision_mean,0.028970464740372986,nan,0.03960396039603961,1.01
linear_gaussian,0,0.1;1.0,6,precision_weighted_csm,0.06787112288532132,1.0070708275853989e-10,0.03960396039603961,1.01
linear_gaussian,0,0.1;1.0,6,uniform_csm,0.4061138910995088,nan,0.03960396039603961,1.01
linear_gaussian,0,0.1;1.0,6,analytic_precision_mean,0.06787112290775983,nan,0.03960396039603961,1.01
linear_gaussian,0,0.1;1.0,7,precision_weighted_csm,0.026977876616975795,8.872324468908903e-11,0.03960396039603961,1.01
linear_gaussian,0,0.1;1.0,7,uniform_csm,1.723386075273278,nan,0.03960396039603961,1.01
linear_gaussian,0,0.1;1.0,7,analytic_precision_mean,0.026977876628547684,nan,0.03960396039603961,1.01
linear_gaussian,0,0.1;1.0,8,precision_weighted_csm,0.018390262834415562,1.8932935318347842e-10,0.03960396039603961,1.01
linear_gaussian,0,0.1;1.0,8,uniform_csm,0.1294227942793703,nan,0.03960396039603961,1.01
linear_gaussian,0,0.1;1.0,8,analytic_precision_mean,0.018390262872017164,nan,0.03960396039603961,1.01
linear_gaussian,0,0.1;1.0,9,precision_weighted_csm,0.037331542638849004,1.9946718006007773e-10,0.03960396039603961,1.01
linear_gaussian,0,0.1;1.0,9,uniform_csm,2.8179359541213014,nan,0.03960396039603961,1.01
linear_gaussian,0,0.1;1.0,9,analytic_precision_mean,0.037331542688012274,nan,0.03960396039603961,1.01
linear_gaussian,0,0.1;1.0,10,precision_weighted_csm,0.08268591419681193,1.8118254921040037e-10,0.03960396039603961,1.01
linear_gaussian,0,0.1;1.0,10,uniform_csm,0.0821416744480512,nan,0.03960396039603961,1.01
linear_gaussian,0,0.1;1.0,10,analytic_precision_mean,0.08268591424832446,nan,0.03960396039603961,1.01
linear_gaussian,0,0.1;1.0,11,precision_weighted_csm,0.015385607873575567,2.2308322703171377e-10,0.03960396039603961,1.01
linear_gaussian,0,0.1;1.0,11,uniform_csm,2.424301398716959,nan,0.03960396039603961,1.01
linear_gaussian,0,0.1;1.0,11,analytic_precision_mean,0.015385607850857833,nan,0.03960396039603961,1.01
linear_gaussian,0,0.1;1.0,12,precision_weighted_csm,0.02678392578976854,1.1264651877466986e-10,0.03960396039603961,1.01
linear_gaussian,0,0.1;1.0,12,uniform_csm,0.6337471400883385,nan,0.03960396039603961,1.01
linear_gaussian,0,0.1;1.0,12,analytic_precision_mean,0.026783925808708316,nan,0.03960396039603961,1.01
linear_gaussian,0,0.1;1.0,13,precision_weighted_csm,0.05366260511214951,2.197371597763716e-10,0.03960396039603961,1.01
linear_gaussian,0,0.1;1.0,13,uniform_csm,0.7595753981845811,nan,0.03960396039603961,1.01
linear_gaussian,0,0.1;1.0,13,analytic_precision_mean,0.05366260512531314,nan,0.03960396039603961,1.01
linear_gaussian,0,0.1;1.0,14,precision_weighted_csm,0.026136900577008498,1.748949926146728e-10,0.03960396039603961,1.01
linear_gaussian,0,0.1;1.0,14,uniform_csm,0.24870919998493668,nan,0.03960396039603961,1.01
linear_gaussian,0,0.1;1.0,14,analytic_precision_mean,0.02613690056383027,nan,0.03960396039603961,1.01
linear_gaussian,0,0.1;1.0,15,precision_weighted_csm,0.031470385566406175,2.1180412198742158e-10,0.03960396039603961,1.01
linear_gaussian,0,0.1;1.0,15,uniform_csm,0.5899994150242223,nan,0.03960396039603961,1.01
linear_gaussian,0,0.1;1.0,15,analytic_precision_mean,0.03147038561845084,nan,0.03960396039603961,1.01
linear_gaussian,1,0.1;0.3;1.0;2.0,0,precision_weighted_csm,0.06279665364031128,1.4667937253007264e-10,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,0,uniform_csm,0.11702974062548707,nan,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,0,analytic_precision_mean,0.06279665365808404,nan,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,1,precision_weighted_csm,0.018280346881539778,1.9967060465361812e-10,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,1,uniform_csm,0.4596565547526624,nan,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,1,analytic_precision_mean,0.01828034691446433,nan,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,2,precision_weighted_csm,0.015112059796080067,1.1810793103442916e-10,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,2,uniform_csm,0.9610885952036385,nan,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,2,analytic_precision_mean,0.015112059783445857,nan,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,3,precision_weighted_csm,0.032211126698600365,8.523688677718523e-11,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,3,uniform_csm,1.0005086380254467,nan,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,3,analytic_precision_mean,0.032211126699645515,nan,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,4,precision_weighted_csm,0.028579886941825283,1.6105576585533907e-10,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,4,uniform_csm,1.3725880912236081,nan,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,4,analytic_precision_mean,0.028579886963262042,nan,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,5,precision_weighted_csm,0.06865922202395294,3.1310395639687776e-10,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,5,uniform_csm,0.33515181497924895,nan,0.03559950556242275,1.275
