representation,key_condition,d_key,edges,hops_target,method,adaptive_reads,minimum_layer_depth,state_bytes,estimated_total_flops,median_microseconds_per_chain
controlled,orthogonal,16,16,1,csm_chained,1,1,4096,1024,790.8415
controlled,orthogonal,16,16,1,softmax_repeated,1,1,4096,1104,41.4105
controlled,orthogonal,16,16,1,softmax_one,1,1,4096,1104,41.1665
controlled,orthogonal,16,16,2,csm_chained,2,1,4096,2048,1559.6345
controlled,orthogonal,16,16,2,softmax_repeated,2,2,4096,2208,76.8905
controlled,orthogonal,16,16,2,softmax_one,1,1,4096,1104,41.154
controlled,orthogonal,16,16,4,csm_chained,4,1,4096,4096,3090.5995
controlled,orthogonal,16,16,4,softmax_repeated,4,4,4096,4416,147.467
controlled,orthogonal,16,16,4,softmax_one,1,1,4096,1104,44.661
controlled,orthogonal,16,16,8,csm_chained,8,1,4096,8192,6136.074
controlled,orthogonal,16,16,8,softmax_repeated,8,8,4096,8832,268.0195
controlled,orthogonal,16,16,8,softmax_one,1,1,4096,1104,41.848
controlled,orthogonal,16,16,16,csm_chained,16,1,4096,16384,12504.813
controlled,orthogonal,16,16,16,softmax_repeated,16,16,4096,17664,510.597
controlled,orthogonal,16,16,16,softmax_one,1,1,4096,1104,41.252
random_nonorthogonal,correlated_0.8,16,16,1,csm_chained,1,1,4096,1024,788.3495
random_nonorthogonal,correlated_0.8,16,16,1,softmax_repeated,1,1,4096,1104,40.723
random_nonorthogonal,correlated_0.8,16,16,1,softmax_one,1,1,4096,1104,40.4095
random_nonorthogonal,correlated_0.8,16,16,2,csm_chained,2,1,4096,2048,1554.5615
random_nonorthogonal,correlated_0.8,16,16,2,softmax_repeated,2,2,4096,2208,74.3865
random_nonorthogonal,correlated_0.8,16,16,2,softmax_one,1,1,4096,1104,43.1585
random_nonorthogonal,correlated_0.8,16,16,4,csm_chained,4,1,4096,4096,3090.736
random_nonorthogonal,correlated_0.8,16,16,4,softmax_repeated,4,4,4096,4416,152.733
random_nonorthogonal,correlated_0.8,16,16,4,softmax_one,1,1,4096,1104,44.1125
random_nonorthogonal,correlated_0.8,16,16,8,csm_chained,8,1,4096,8192,6100.07
random_nonorthogonal,correlated_0.8,16,16,8,softmax_repeated,8,8,4096,8832,274.54
random_nonorthogonal,correlated_0.8,16,16,8,softmax_one,1,1,4096,1104,40.9915
random_nonorthogonal,correlated_0.8,16,16,16,csm_chained,16,1,4096,16384,12416.7505
random_nonorthogonal,correlated_0.8,16,16,16,softmax_repeated,16,16,4096,17664,565.8315
random_nonorthogonal,correlated_0.8,16,16,16,softmax_one,1,1,4096,1104,45.3635
controlled,orthogonal,32,32,1,csm_chained,1,1,16384,4096,788.879
controlled,orthogonal,32,32,1,softmax_repeated,1,1,16384,4256,40.9705
controlled,orthogonal,32,32,1,softmax_one,1,1,16384,4256,40.9405
controlled,orthogonal,32,32,2,csm_chained,2,1,16384,8192,1550.5965
controlled,orthogonal,32,32,2,softmax_repeated,2,2,16384,8512,76.6735
controlled,orthogonal,32,32,2,softmax_one,1,1,16384,4256,41.137
controlled,orthogonal,32,32,4,csm_chained,4,1,16384,16384,3129.8145
controlled,orthogonal,32,32,4,softmax_repeated,4,4,16384,17024,134.205
controlled,orthogonal,32,32,4,softmax_one,1,1,16384,4256,39.7885
controlled,orthogonal,32,32,8,csm_chained,8,1,16384,32768,6257.3375
controlled,orthogonal,32,32,8,softmax_repeated,8,8,16384,34048,302.447
controlled,orthogonal,32,32,8,softmax_one,1,1,16384,4256,43.865
controlled,orthogonal,32,32,16,csm_chained,16,1,16384,65536,12945.822
controlled,orthogonal,32,32,16,softmax_repeated,16,16,16384,68096,487.096
controlled,orthogonal,32,32,16,softmax_one,1,1,16384,4256,39.667
random_nonorthogonal,correlated_0.8,32,32,1,csm_chained,1,1,16384,4096,803.117
random_nonorthogonal,correlated_0.8,32,32,1,softmax_repeated,1,1,16384,4256,38.9185
random_nonorthogonal,correlated_0.8,32,32,1,softmax_one,1,1,16384,4256,39.1565
random_nonorthogonal,correlated_0.8,32,32,2,csm_chained,2,1,16384,8192,1587.8575
random_nonorthogonal,correlated_0.8,32,32,2,softmax_repeated,2,2,16384,8512,75.759
random_nonorthogonal,correlated_0.8,32,32,2,softmax_one,1,1,16384,4256,40.7575
random_nonorthogonal,correlated_0.8,32,32,4,csm_chained,4,1,16384,16384,3169.884
random_nonorthogonal,correlated_0.8,32,32,4,softmax_repeated,4,4,16384,17024,139.132
random_nonorthogonal,correlated_0.8,32,32,4,softmax_one,1,1,16384,4256,41.1795
random_nonorthogonal,correlated_0.8,32,32,8,csm_chained,8,1,16384,32768,6205.979
random_nonorthogonal,correlated_0.8,32,32,8,softmax_repeated,8,8,16384,34048,275.0335
random_nonorthogonal,correlated_0.8,32,32,8,softmax_one,1,1,16384,4256,41.415
random_nonorthogonal,correlated_0.8,32,32,16,csm_chained,16,1,16384,65536,12613.8525
random_nonorthogonal,correlated_0.8,32,32,16,softmax_repeated,16,16,16384,68096,533.385
random_nonorthogonal,correlated_0.8,32,32,16,softmax_one,1,1,16384,4256,41.2935
controlled,orthogonal,64,64,1,csm_chained,1,1,65536,16384,801.1075
controlled,orthogonal,64,64,1,softmax_repeated,1,1,65536,16704,40.7525
controlled,orthogonal,64,64,1,softmax_one,1,1,65536,16704,41.037
controlled,orthogonal,64,64,2,csm_chained,2,1,65536,32768,1580.6995
controlled,orthogonal,64,64,2,softmax_repeated,2,2,65536,33408,76.392
controlled,orthogonal,64,64,2,softmax_one,1,1,65536,16704,41.2065
controlled,orthogonal,64,64,4,csm_chained,4,1,65536,65536,3089.6505
