representation,key_condition,graph_regime,d_key,edges,load,capacity_domain,epsilon,seed,starts,method,hops,adaptive_reads,minimum_layer_depth,success_rate,mean_endpoint_error,p90_endpoint_error,maximum_endpoint_error,accumulated_mean_error,mean_confidence,maximum_one_hop_csm_error,read_operator_norm,theorem_error_bound,bound_relative_excess,system_condition_number,key_gram_condition_number,maximum_code_coherence,selected_softmax_temperature,state_bytes,estimated_total_flops
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,1e-08,0,4,csm_chained,1,1,1,1.0,9.999999874196791e-09,9.999999952597064e-09,9.999999983626728e-09,9.999999874196791e-09,0.9999999900000001,9.999999983626728e-09,0.9999999938906391,9.999999983626728e-09,0.0,100000001.42441438,1.0000000000000002,2.220446049250313e-16,nan,4096,1024
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,1e-08,0,4,softmax_repeated,1,1,1,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,100000001.42441438,1.0000000000000002,2.220446049250313e-16,0.001,1024,276
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,1e-08,0,4,softmax_one,1,1,1,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,100000001.42441438,1.0000000000000002,2.220446049250313e-16,0.001,1024,276
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,1e-08,0,4,csm_chained,2,2,1,1.0,1.9999999714414822e-08,1.9999999840520217e-08,1.9999999851097167e-08,2.999999958861161e-08,0.9999999700000005,9.999999983626728e-09,0.9999999938906391,1.9999999967253455e-08,0.0,100000001.42441438,1.0000000000000002,2.220446049250313e-16,nan,4096,2048
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,1e-08,0,4,softmax_repeated,2,2,2,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,100000001.42441438,1.0000000000000002,2.220446049250313e-16,0.001,1024,552
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,1e-08,0,4,softmax_one,2,1,1,0.5,0.7071067811865476,1.4142135623730951,1.4142135623730951,0.7071067811865476,nan,nan,nan,nan,nan,100000001.42441438,1.0000000000000002,2.220446049250313e-16,0.001,1024,276
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,1e-08,0,4,csm_chained,4,4,1,1.0,3.999999905088054e-08,3.9999999286294526e-08,3.999999928688535e-08,9.999999806690437e-08,0.9999999300000026,9.999999983626728e-09,0.9999999938906391,3.99999995710571e-08,0.0,100000001.42441438,1.0000000000000002,2.220446049250313e-16,nan,4096,4096
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,1e-08,0,4,softmax_repeated,4,4,4,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,100000001.42441438,1.0000000000000002,2.220446049250313e-16,0.001,1024,1104
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,1e-08,0,4,softmax_one,4,1,1,0.5,0.7071067811865476,1.4142135623730951,1.4142135623730951,1.4142135623730951,nan,nan,nan,nan,nan,100000001.42441438,1.0000000000000002,2.220446049250313e-16,0.001,1024,276
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,1e-08,0,4,csm_chained,8,8,1,1.0,7.99999964269203e-08,7.999999657683023e-08,7.99999966245552e-08,3.5999998829783034e-07,0.999999850000012,9.999999983626728e-09,0.9999999938906391,7.99999982334897e-08,0.0,100000001.42441438,1.0000000000000002,2.220446049250313e-16,nan,4096,8192
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,1e-08,0,4,softmax_repeated,8,8,8,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,100000001.42441438,1.0000000000000002,2.220446049250313e-16,0.001,1024,2208
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,1e-08,0,4,softmax_one,8,1,1,0.5,0.7071067811865476,1.4142135623730951,1.4142135623730951,2.8284271247461903,nan,nan,nan,nan,nan,100000001.42441438,1.0000000000000002,2.220446049250313e-16,0.001,1024,276
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,1e-08,0,4,csm_chained,16,16,1,1.0,1.5999998640754972e-07,1.5999998692190042e-07,1.5999998707095276e-07,1.3599999186775442e-06,0.9999996900000496,9.999999983626728e-09,0.9999999938906391,1.599999924690315e-07,0.0,100000001.42441438,1.0000000000000002,2.220446049250313e-16,nan,4096,16384
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,1e-08,0,4,softmax_repeated,16,16,16,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,100000001.42441438,1.0000000000000002,2.220446049250313e-16,0.001,1024,4416
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,1e-08,0,4,softmax_one,16,1,1,0.5,0.7071067811865476,1.4142135623730951,1.4142135623730951,5.656854249492381,nan,nan,nan,nan,nan,100000001.42441438,1.0000000000000002,2.220446049250313e-16,0.001,1024,276
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,0.0001,0,4,csm_chained,1,1,1,1.0,9.99900009999824e-05,9.999000100003242e-05,9.999000100005178e-05,9.99900009999824e-05,0.9999000099990001,9.999000100005178e-05,0.99990000999959,9.999000100005178e-05,0.0,10001.000000003021,1.0000000000000002,2.220446049250313e-16,nan,4096,1024
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,0.0001,0,4,softmax_repeated,1,1,1,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,10001.000000003021,1.0000000000000002,2.220446049250313e-16,0.001,1024,276
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,0.0001,0,4,softmax_one,1,1,1,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,10001.000000003021,1.0000000000000002,2.220446049250313e-16,0.001,1024,276
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,0.0001,0,4,csm_chained,2,2,1,1.0,0.00019997000399954825,0.00019997000399966315,0.0001999700039997064,0.0002999600049995307,0.9997000599900014,9.999000100005178e-05,0.99990000999959,0.00019997000399983906,0.0,10001.000000003021,1.0000000000000002,2.220446049250313e-16,nan,4096,2048
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,0.0001,0,4,softmax_repeated,2,2,2,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,10001.000000003021,1.0000000000000002,2.220446049250313e-16,0.001,1024,552
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,0.0001,0,4,softmax_one,2,1,1,0.5,0.7071067811865476,1.4142135623730951,1.4142135623730951,0.7071067811865476,nan,nan,nan,nan,nan,10001.000000003021,1.0000000000000002,2.220446049250313e-16,0.001,1024,276
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,0.0001,0,4,csm_chained,4,4,1,1.0,0.0003999000199965755,0.00039990001999672294,0.00039990001999672895,0.0009998000349947223,0.9993002799160209,9.999000100005178e-05,0.99990000999959,0.0003999000199974214,0.0,10001.000000003021,1.0000000000000002,2.220446049250313e-16,nan,4096,4096
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,0.0001,0,4,softmax_repeated,4,4,4,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,10001.000000003021,1.0000000000000002,2.220446049250313e-16,0.001,1024,1104
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,0.0001,0,4,softmax_one,4,1,1,0.5,0.7071067811865476,1.4142135623730951,1.4142135623730951,1.4142135623730951,nan,nan,nan,nan,nan,10001.000000003021,1.0000000000000002,2.220446049250313e-16,0.001,1024,276
