task,method,seed,step,training_mse,orthogonality_penalty,gradient_norm
associative_recall,learned_csm,0,1,0.17907828092575073,0.7494782209396362,0.17429266346755132
associative_recall,learned_csm,0,20,0.12600520253181458,0.15296483039855957,0.13968136657763047
associative_recall,learned_csm,0,40,0.08749273419380188,0.09577445685863495,0.09698361454371184
associative_recall,learned_csm,0,60,0.06332115828990936,0.08062660694122314,0.08718098981320098
associative_recall,learned_csm,0,80,0.04184765741229057,0.08763790875673294,0.06359843187531507
associative_recall,learned_csm,0,100,0.024034978821873665,0.0850052535533905,0.04726699045926609
associative_recall,learned_csm,0,120,0.02324325032532215,0.08360450714826584,0.04231173047387842
associative_recall,learned_csm,0,140,0.020680829882621765,0.08410558104515076,0.030395902780471506
associative_recall,learned_csm,0,160,0.021802131086587906,0.08455578982830048,0.03867425610467894
associative_recall,learned_csm,0,180,0.018923195078969002,0.0862884595990181,0.028719464181079554
associative_recall,fixed_random_csm,0,1,0.17907828092575073,0.7494782209396362,0.1719383189490123
associative_recall,fixed_random_csm,0,20,0.14406456053256989,0.7382206320762634,0.12846625858344174
associative_recall,fixed_random_csm,0,40,0.12086903303861618,0.748737096786499,0.08813908957999006
associative_recall,fixed_random_csm,0,60,0.1120743378996849,0.7505432963371277,0.07518436728432984
associative_recall,fixed_random_csm,0,80,0.09952136874198914,0.7447210550308228,0.044007777152473906
associative_recall,fixed_random_csm,0,100,0.08863657712936401,0.7388394474983215,0.031715468314134104
associative_recall,fixed_random_csm,0,120,0.09391769766807556,0.7445772290229797,0.03566708610501309
associative_recall,fixed_random_csm,0,140,0.08316472172737122,0.7500877976417542,0.029883008512932425
associative_recall,fixed_random_csm,0,160,0.08501070737838745,0.739362359046936,0.03627683897054641
associative_recall,fixed_random_csm,0,180,0.07962098717689514,0.7443881630897522,0.02148026527306504
associative_recall,learned_hebbian,0,1,0.17936022579669952,0.7494782209396362,0.16940303512376673
associative_recall,learned_hebbian,0,20,0.1509552299976349,0.18164633214473724,0.1284236918298683
associative_recall,learned_hebbian,0,40,0.12914663553237915,0.18515373766422272,0.08796983905142759
associative_recall,learned_hebbian,0,60,0.1196349486708641,0.16240374743938446,0.07855899129467961
associative_recall,learned_hebbian,0,80,0.10483348369598389,0.14718197286128998,0.048486514177570474
associative_recall,learned_hebbian,0,100,0.0910336896777153,0.1232459545135498,0.06428715808156486
associative_recall,learned_hebbian,0,120,0.09068138897418976,0.1051522046327591,0.049971693701628524
associative_recall,learned_hebbian,0,140,0.07896573841571808,0.09864819794893265,0.05006929065049098
associative_recall,learned_hebbian,0,160,0.07642008364200592,0.09397640824317932,0.0804953799399763
associative_recall,learned_hebbian,0,180,0.06688471138477325,0.08920015394687653,0.04799072485001138
associative_recall,learned_attention,0,1,0.17864836752414703,0.7494782209396362,0.17147142093596796
associative_recall,learned_attention,0,20,0.12001867592334747,0.13968461751937866,0.13837194366915045
associative_recall,learned_attention,0,40,0.08396121114492416,0.11839064955711365,0.09334054270194786
associative_recall,learned_attention,0,60,0.06133236736059189,0.10255418717861176,0.08233694957034662
associative_recall,learned_attention,0,80,0.04138509929180145,0.10197222977876663,0.05545250783944371
associative_recall,learned_attention,0,100,0.0234222449362278,0.09814034402370453,0.03793768805674045
