task,task_type,method,seed,beta,lambda,query_scale,shared_key_query,epsilon,orthogonality_regularizer,training_seconds,trainable_parameters,total_parameters,median_gradient_norm,final_gradient_norm,mse,normalized_mse,success_rate,mean_uncertainty,gram_eigenvalue_spectrum,minimum_gram_eigenvalue,maximum_gram_eigenvalue,mean_pairwise_cosine,mean_absolute_pairwise_cosine,maximum_absolute_pairwise_cosine,effective_rank,minimum_singular_value,system_condition_number,fraction_capacity_used,effective_capacity_fraction
associative_recall,discrete_retrieval,learned_csm,0,1.0,1.0,1.435886263847351,True,0.1,0.0,14.89593682099985,1078,1078,0.06087681651679431,0.028719464181079554,0.018607834354043007,0.14886268370525144,0.974609375,1.6851829290390015,0.096648186;0.23711857;0.43390059;0.68077278;0.9779079;1.3390868;1.7758548;2.4587102,0.0966481864452362,2.458710193634033,0.08120577782392502,0.24014070630073547,0.9390933513641357,5.853916645050049,0.2982529401779175,25.587100982666016,0.6666666666666666,0.7317395806312561
associative_recall,discrete_retrieval,fixed_random_csm,0,1.0,1.0,1.0,True,0.1,0.0,0.7794813059999797,72,1078,0.05085894169996969,0.02148026527306504,0.0829894170165062,0.6639153757044897,0.60546875,0.4872007668018341,0.0053570149;0.015849698;0.035474695;0.06819728;0.13062549;0.25138822;0.46360219;7.0295053,0.005357014946639538,7.029505729675293,0.86030113697052,0.86030113697052,0.9910120368003845,1.705036997795105,0.06975121796131134,71.29505157470703,0.6666666666666666,0.21312962472438812
associative_recall,discrete_retrieval,learned_hebbian,0,1.0,1.0,1.9832557439804077,True,0.1,0.0,1.0838969129999896,1078,1078,0.06934930654275345,0.04799072485001138,0.06544338166713715,0.5235470845429352,0.744140625,nan,0.089291066;0.22633639;0.41368294;0.65573347;0.97379112;1.3369333;1.8058015;2.4984305,0.08929106593132019,2.4984302520751953,0.05913887545466423,0.24637338519096375,0.891807496547699,5.774587631225586,0.28715378046035767,25.984302520751953,0.6666666666666666,0.7218234539031982
associative_recall,discrete_retrieval,learned_attention,0,1.0,1.0,1.2356147766113281,True,0.1,0.0,0.7719398360004561,1078,1078,0.05266409509179143,0.013960114109676758,0.01440519466996193,0.11524156422862794,0.974609375,nan,0.078741185;0.21007869;0.40354863;0.65654504;0.96755087;1.3471649;1.8153234;2.5210476,0.07874118536710739,2.521047592163086,0.010018736124038696,0.2502839267253876,0.8962557315826416,5.703794956207275,0.26652291417121887,26.210472106933594,0.6666666666666666,0.7129743695259094
associative_recall,discrete_retrieval,learned_csm,1,1.0,1.0,1.3607861995697021,True,0.1,0.0,0.6073676129999512,1078,1078,0.0557337157248163,0.039566370981521125,0.012741141021251678,0.10192913424546327,0.990234375,1.5168179273605347,0.10004999;0.24649288;0.43581325;0.68169445;0.98941803;1.3430147;1.7826185;2.4208982,0.10004999488592148,2.420897960662842,0.07564090192317963,0.23726065456867218,0.9425371289253235,5.8919572830200195,0.3036577105522156,25.208980560302734,0.6666666666666666,0.7364946603775024
associative_recall,discrete_retrieval,fixed_random_csm,1,1.0,1.0,1.0,True,0.1,0.0,0.34828962499977933,72,1078,0.04979489930056967,0.04375162339152248,0.08173401653766632,0.6538721712751491,0.6171875,0.4883803129196167,0.005237978;0.016664922;0.037472546;0.07272055;0.13804898;0.25173032;0.45203015;7.0260949,0.00523797795176506,7.026094436645508,0.8597919344902039,0.8597919344902039,0.9915511012077332,1.7127002477645874,0.06831258535385132,71.26093292236328,0.6666666666666666,0.21408753097057343
associative_recall,discrete_retrieval,learned_hebbian,1,1.0,1.0,1.8798822164535522,True,0.1,0.0,0.520960470999853,1078,1078,0.06715911756439212,0.06622960448070288,0.06727459281682968,0.538196774613665,0.68359375,nan,0.095010437;0.23464014;0.42798263;0.66801196;0.97524428;1.3372607;1.7921404;2.4697094,0.0950104370713234,2.4697093963623047,0.08597929775714874,0.2420898973941803,0.9160184264183044,5.829166412353516,0.29467591643333435,25.697093963623047,0.6666666666666666,0.7286458015441895
associative_recall,discrete_retrieval,learned_attention,1,1.0,1.0,1.2093377113342285,True,0.1,0.0,0.5899909899999329,1078,1078,0.049607118990253496,0.03126105386361152,0.006157607771456242,0.0492608651078263,0.990234375,nan,0.066549227;0.18911272;0.38467962;0.64603817;0.95959747;1.3393636;1.8426137;2.5720453,0.06654923409223557,2.5720455646514893,0.0035958068910986185,0.2579699158668518,0.9187102317810059,5.59608268737793,0.24415399134159088,26.72045135498047,0.6666666666666666,0.6995103359222412
associative_recall,discrete_retrieval,learned_csm,2,1.0,1.0,1.3902441263198853,True,0.1,0.0,0.6224030720004521,1078,1078,0.05752440035116464,0.018332447981243376,0.005345392040908337,0.042763138876148396,0.984375,1.581916332244873,0.096160091;0.24294499;0.44668633;0.69589198;0.98277128;1.3274286;1.7829618;2.4251549,0.09616009145975113,2.4251549243927,0.07496889680624008,0.23657555878162384,0.8854739665985107,5.895495891571045,0.29719147086143494,25.25154685974121,0.6666666666666666,0.7369369864463806
associative_recall,discrete_retrieval,fixed_random_csm,2,1.0,1.0,1.0,True,0.1,0.0,0.34736181999960536,72,1078,0.05044577211467764,0.04534805573846011,0.07881482690572739,0.6305186528276594,0.6796875,0.5414897203445435,0.0088329231;0.026058631;0.056102619;0.10766583;0.19538955;0.33813524;0.60642469;6.6613903,0.00883292406797409,6.66139030456543,0.8070560693740845,0.8070560693740845,0.9883955717086792,1.9894766807556152,0.088889479637146,67.61390686035156,0.6666666666666666,0.2486845850944519
associative_recall,discrete_retrieval,learned_hebbian,2,1.0,1.0,1.8924304246902466,True,0.1,0.0,0.5119886250004129,1078,1078,0.06243827576423231,0.05953449057487903,0.06094502657651901,0.4875602416730071,0.7734375,nan,0.093153685;0.23376009;0.42378482;0.67778623;0.96537232;1.3366787;1.8152868;2.4541771,0.09315367788076401,2.4541773796081543,0.07140623033046722,0.24194784462451935,0.900783121585846,5.8222336769104,0.29210519790649414,25.541770935058594,0.6666666666666666,0.7277792096138
