experiment,method,seed,training_seconds,mse,normalized_mse,mean_weight_clean,mean_weight_noisy,mean_weight_corrupted,mean_weight_distractor,oracle_weight_correlation
beta,beta_fixed_1,0,10.438312749000033,0.7065456509590149,0.6895048225735694,0.9999999403953552,1.0,0.9999999403953552,1.0,0.0
beta,beta_generic_value,0,0.5225315530005901,0.13435271382331848,0.13496229277010202,3.4225287437438965,2.782874584197998,0.09109955281019211,0.5315296649932861,0.702414427352745
beta,beta_learned_precision,0,0.4698777539997536,0.0331587940454483,0.03241638586292116,2.8773043155670166,0.7194876074790955,0.04959298297762871,0.14450256526470184,0.9727179091489576
beta,beta_oracle,0,0.41585982400010835,0.10958020389080048,0.10904981405574389,4.0,0.03999999910593033,0.0009999999310821295,0.0009999999310821295,1.0
beta,beta_fixed_1,1,0.41436196900031064,0.7007972002029419,0.6963237192774652,0.9999999403953552,1.0,0.9999999403953552,1.0,0.0
beta,beta_generic_value,1,0.46970556900032534,0.12737788259983063,0.12886974752568806,3.282517194747925,2.189069986343384,0.10420145839452744,0.5660572648048401,0.7974787775327071
beta,beta_learned_precision,1,0.4805305119998593,0.032596174627542496,0.032911954259939855,2.8116304874420166,0.8094525933265686,0.04239552468061447,0.15324844419956207,0.9616769137629685
beta,beta_oracle,1,0.41871157999958086,0.09218980371952057,0.09123030190280947,4.0,0.03999999910593033,0.0010000000474974513,0.0010000000474974513,0.9999999999999999
beta,beta_fixed_1,2,0.41431535799983976,0.680919885635376,0.6748217507817731,1.0,1.0,1.0,1.0,0.0
beta,beta_generic_value,2,0.511185573000148,0.20596858859062195,0.20588703005303546,3.035844564437866,1.7531658411026,0.09052999317646027,0.6904796957969666,0.8462794428784697
beta,beta_learned_precision,2,0.5115099859995098,0.027336539700627327,0.027448485279486394,3.1341583728790283,0.5469952821731567,0.04850827157497406,0.17514416575431824,0.9874514612064175
beta,beta_oracle,2,0.4278668229999312,0.03407306969165802,0.03348717443730657,4.0,0.03999999538064003,0.0009999999310821295,0.0010000000474974513,1.0
