experiment,method,seed,step,loss
beta,beta_fixed_1,0,1,0.998360276222229
beta,beta_fixed_1,0,15,1.0901029109954834
beta,beta_fixed_1,0,30,0.9183508157730103
beta,beta_fixed_1,0,45,0.9554742574691772
beta,beta_fixed_1,0,60,0.9992129802703857
beta,beta_fixed_1,0,75,0.8459388017654419
beta,beta_fixed_1,0,90,0.8711167573928833
beta,beta_fixed_1,0,105,0.7839665412902832
beta,beta_fixed_1,0,120,0.8108047246932983
beta,beta_fixed_1,0,135,0.7274309396743774
beta,beta_fixed_1,0,150,0.8096413612365723
beta,beta_generic_value,0,1,1.0787460803985596
beta,beta_generic_value,0,15,0.8915753960609436
beta,beta_generic_value,0,30,0.7549340724945068
beta,beta_generic_value,0,45,0.7009981870651245
beta,beta_generic_value,0,60,0.4763442277908325
beta,beta_generic_value,0,75,0.3714245557785034
beta,beta_generic_value,0,90,0.26926350593566895
beta,beta_generic_value,0,105,0.16305693984031677
beta,beta_generic_value,0,120,0.2117518186569214
beta,beta_generic_value,0,135,0.14344608783721924
beta,beta_generic_value,0,150,0.13886818289756775
beta,beta_learned_precision,0,1,1.0363504886627197
beta,beta_learned_precision,0,15,0.9915975332260132
beta,beta_learned_precision,0,30,0.8547195196151733
beta,beta_learned_precision,0,45,0.721427857875824
beta,beta_learned_precision,0,60,0.46289873123168945
beta,beta_learned_precision,0,75,0.3662961721420288
beta,beta_learned_precision,0,90,0.26871755719184875
beta,beta_learned_precision,0,105,0.14092525839805603
beta,beta_learned_precision,0,120,0.11772090196609497
beta,beta_learned_precision,0,135,0.06068839877843857
beta,beta_learned_precision,0,150,0.0411943718791008
beta,beta_oracle,0,1,1.1616301536560059
beta,beta_oracle,0,15,0.8506900072097778
beta,beta_oracle,0,30,0.7296711206436157
beta,beta_oracle,0,45,0.6459988355636597
beta,beta_oracle,0,60,0.45688876509666443
beta,beta_oracle,0,75,0.28708121180534363
beta,beta_oracle,0,90,0.3038685917854309
beta,beta_oracle,0,105,0.22707805037498474
beta,beta_oracle,0,120,0.23007391393184662
beta,beta_oracle,0,135,0.12974867224693298
beta,beta_oracle,0,150,0.1030164286494255
beta,beta_fixed_1,1,1,1.0785200595855713
beta,beta_fixed_1,1,15,1.0139381885528564
beta,beta_fixed_1,1,30,0.9070067405700684
beta,beta_fixed_1,1,45,1.0420262813568115
beta,beta_fixed_1,1,60,0.8270179033279419
beta,beta_fixed_1,1,75,0.752851665019989
beta,beta_fixed_1,1,90,0.7165603637695312
beta,beta_fixed_1,1,105,0.7378050088882446
beta,beta_fixed_1,1,120,0.6915788054466248
beta,beta_fixed_1,1,135,0.7100769877433777
beta,beta_fixed_1,1,150,0.6821786761283875
beta,beta_generic_value,1,1,1.025932788848877
beta,beta_generic_value,1,15,1.132043480873108
beta,beta_generic_value,1,30,0.9614887237548828
beta,beta_generic_value,1,45,0.908210277557373
beta,beta_generic_value,1,60,0.7343829870223999
beta,beta_generic_value,1,75,0.4805983304977417
beta,beta_generic_value,1,90,0.38480427861213684
beta,beta_generic_value,1,105,0.25401580333709717
beta,beta_generic_value,1,120,0.21633565425872803
beta,beta_generic_value,1,135,0.17488780617713928
beta,beta_generic_value,1,150,0.15110057592391968
beta,beta_learned_precision,1,1,1.0555498600006104
beta,beta_learned_precision,1,15,0.8920564651489258
beta,beta_learned_precision,1,30,0.880682110786438
beta,beta_learned_precision,1,45,0.6675148010253906
beta,beta_learned_precision,1,60,0.48563721776008606
beta,beta_learned_precision,1,75,0.3197246491909027
beta,beta_learned_precision,1,90,0.18212255835533142
beta,beta_learned_precision,1,105,0.10535836964845657
beta,beta_learned_precision,1,120,0.0707601010799408
beta,beta_learned_precision,1,135,0.04454546049237251
beta,beta_learned_precision,1,150,0.03916821628808975
beta,beta_oracle,1,1,1.2194414138793945
beta,beta_oracle,1,15,0.9127120971679688
beta,beta_oracle,1,30,0.8383945226669312
beta,beta_oracle,1,45,0.6100766062736511
beta,beta_oracle,1,60,0.5603069067001343
beta,beta_oracle,1,75,0.34513503313064575
beta,beta_oracle,1,90,0.32467377185821533
beta,beta_oracle,1,105,0.2603658437728882
beta,beta_oracle,1,120,0.15732218325138092
beta,beta_oracle,1,135,0.14827877283096313
beta,beta_oracle,1,150,0.09482842683792114
beta,beta_fixed_1,2,1,1.1259500980377197
beta,beta_fixed_1,2,15,1.0710160732269287
beta,beta_fixed_1,2,30,0.9632112383842468
beta,beta_fixed_1,2,45,0.9311963319778442
beta,beta_fixed_1,2,60,0.9400057792663574
beta,beta_fixed_1,2,75,0.7159809470176697
beta,beta_fixed_1,2,90,0.7338958978652954
beta,beta_fixed_1,2,105,0.5965560674667358
beta,beta_fixed_1,2,120,0.7098652124404907
beta,beta_fixed_1,2,135,0.7267899513244629
beta,beta_fixed_1,2,150,0.7740032076835632
beta,beta_generic_value,2,1,1.0455901622772217
beta,beta_generic_value,2,15,0.9687445163726807
beta,beta_generic_value,2,30,0.9763197302818298
beta,beta_generic_value,2,45,0.8586817979812622
beta,beta_generic_value,2,60,0.582798421382904
beta,beta_generic_value,2,75,0.532158374786377
beta,beta_generic_value,2,90,0.37872958183288574
beta,beta_generic_value,2,105,0.3257693350315094
beta,beta_generic_value,2,120,0.25829875469207764
beta,beta_generic_value,2,135,0.2197096049785614
beta,beta_generic_value,2,150,0.21752378344535828
beta,beta_learned_precision,2,1,1.093801498413086
beta,beta_learned_precision,2,15,1.0506792068481445
beta,beta_learned_precision,2,30,0.9670332074165344
beta,beta_learned_precision,2,45,0.8689634203910828
beta,beta_learned_precision,2,60,0.6778776049613953
beta,beta_learned_precision,2,75,0.4015415608882904
beta,beta_learned_precision,2,90,0.2549195885658264
beta,beta_learned_precision,2,105,0.1984485387802124
beta,beta_learned_precision,2,120,0.10937283933162689
beta,beta_learned_precision,2,135,0.04376760125160217
beta,beta_learned_precision,2,150,0.02611013688147068
beta,beta_oracle,2,1,1.0137581825256348
beta,beta_oracle,2,15,0.8153008818626404
beta,beta_oracle,2,30,0.723108172416687
beta,beta_oracle,2,45,0.610196053981781
beta,beta_oracle,2,60,0.4862949252128601
beta,beta_oracle,2,75,0.4422759711742401
beta,beta_oracle,2,90,0.24794530868530273
beta,beta_oracle,2,105,0.19605985283851624
beta,beta_oracle,2,120,0.10702628642320633
beta,beta_oracle,2,135,0.06214413046836853
beta,beta_oracle,2,150,0.024778064340353012
drift,lambda_fixed_1,0,1,0.21667812764644623
drift,lambda_fixed_1,0,15,0.20762550830841064
drift,lambda_fixed_1,0,30,0.183811753988266
drift,lambda_fixed_1,0,45,0.15377730131149292
drift,lambda_fixed_1,0,60,0.14191709458827972
drift,lambda_fixed_1,0,75,0.12217250466346741
drift,lambda_fixed_1,0,90,0.11191491782665253
drift,lambda_fixed_1,0,105,0.10913316905498505
drift,lambda_fixed_1,0,120,0.10743007063865662
drift,lambda_fixed_1,0,135,0.10123561322689056
drift,lambda_fixed_1,0,150,0.0950767993927002
drift,lambda_fixed_1,0,165,0.09483595192432404
drift,lambda_fixed_1,0,180,0.10031136125326157
drift,lambda_fixed_1,0,195,0.10558556020259857
drift,lambda_fixed_1,0,210,0.10085698962211609
