operation,sweep,sweep_value,activation_dtype,accumulation_dtype,shape,milliseconds,minimum_milliseconds,cv,peak_vram_bytes,gpu_utilization_mean,gpu_utilization_peak,tokens,tokens_per_second,microseconds_per_token,estimated_flops,achieved_tflops,estimated_traffic_bytes,achieved_hbm_gbps
construct_S_C,dimension_grid,16x16,torch.bfloat16,torch.float32,"{""batch_size"": 4, ""heads"": 4, ""sequence_length"": 128, ""d_key"": 16, ""d_value"": 16}",0.17039966648250507,0.15591766653718273,0.222202812815197,430456832,14.0,14.0,512,3004700.7166681695,0.3328118485986427,0.0,0.0,0.0,0.0
construct_S_C,dimension_grid,16x32,torch.bfloat16,torch.float32,"{""batch_size"": 4, ""heads"": 4, ""sequence_length"": 128, ""d_key"": 16, ""d_value"": 32}",0.1679386665879671,0.1522030003494971,0.21606579553034183,432766976,9.0,9.0,512,3048732.0782186384,0.32800520817962325,0.0,0.0,0.0,0.0
construct_S_C,dimension_grid,16x64,torch.bfloat16,torch.float32,"{""batch_size"": 4, ""heads"": 4, ""sequence_length"": 128, ""d_key"": 16, ""d_value"": 64}",0.18165033300950503,0.17326433347382894,0.2199604663026968,437387264,6.0,6.0,512,2818602.044474144,0.3547858066591895,0.0,0.0,0.0,0.0
construct_S_C,dimension_grid,16x128,torch.bfloat16,torch.float32,"{""batch_size"": 4, ""heads"": 4, ""sequence_length"": 128, ""d_key"": 16, ""d_value"": 128}",0.18578766685095616,0.1743306668989438,0.23307278102930468,446627840,5.0,5.0,512,2755834.1663805926,0.36286653681827374,0.0,0.0,0.0,0.0
construct_S_C,dimension_grid,32x16,torch.bfloat16,torch.float32,"{""batch_size"": 4, ""heads"": 4, ""sequence_length"": 128, ""d_key"": 32, ""d_value"": 16}",0.16627366676402744,0.15359000038491408,0.2863477088248048,437043200,4.0,4.0,512,3079260.8953925404,0.3247532553984911,0.0,0.0,0.0,0.0
construct_S_C,dimension_grid,32x32,torch.bfloat16,torch.float32,"{""batch_size"": 4, ""heads"": 4, ""sequence_length"": 128, ""d_key"": 32, ""d_value"": 32}",0.18346000009235772,0.17714699970383663,0.15777075502292845,437305344,4.0,4.0,512,2790799.082864102,0.35832031268038617,0.0,0.0,0.0,0.0
construct_S_C,dimension_grid,32x64,torch.bfloat16,torch.float32,"{""batch_size"": 4, ""heads"": 4, ""sequence_length"": 128, ""d_key"": 32, ""d_value"": 64}",0.17892199988030674,0.17335833338923598,0.2469771581606108,446152704,4.0,4.0,512,2861582.143853255,0.3494570310162241,0.0,0.0,0.0,0.0
construct_S_C,dimension_grid,32x128,torch.bfloat16,torch.float32,"{""batch_size"": 4, ""heads"": 4, ""sequence_length"": 128, ""d_key"": 32, ""d_value"": 128}",0.18712533346842974,0.1676706669968553,0.2445378780936655,463847424,4.0,4.0,512,2736134.0685940874,0.36547916693052684,0.0,0.0,0.0,0.0
construct_S_C,dimension_grid,64x16,torch.bfloat16,torch.float32,"{""batch_size"": 4, ""heads"": 4, ""sequence_length"": 128, ""d_key"": 64, ""d_value"": 16}",0.1643966667567535,0.15483633372544622,0.1983650020843984,462929920,4.0,4.0,512,3114418.3766059647,0.32108723975928416,0.0,0.0,0.0,0.0
construct_S_C,dimension_grid,64x32,torch.bfloat16,torch.float32,"{""batch_size"": 4, ""heads"": 4, ""sequence_length"": 128, ""d_key"": 64, ""d_value"": 32}",0.18991499988866659,0.18551700001504892,0.21945012912560885,463126528,4.0,4.0,512,2695942.923413888,0.3709277341575519,0.0,0.0,0.0,0.0
construct_S_C,dimension_grid,64x64,torch.bfloat16,torch.float32,"{""batch_size"": 4, ""heads"": 4, ""sequence_length"": 128, ""d_key"": 64, ""d_value"": 64}",0.16799133360715737,0.163761333169532,0.2513859254208379,463781888,4.0,4.0,512,3047776.269205032,0.32810807345147924,0.0,0.0,0.0,0.0
construct_S_C,dimension_grid,64x128,torch.bfloat16,torch.float32,"{""batch_size"": 4, ""heads"": 4, ""sequence_length"": 128, ""d_key"": 64, ""d_value"": 128}",0.16366966701752972,0.1557053334787876,0.1965742081329039,498384896,4.0,4.0,512,3128252.2249230375,0.31966731839361273,0.0,0.0,0.0,0.0
construct_S_C,dimension_grid,128x16,torch.bfloat16,torch.float32,"{""batch_size"": 4, ""heads"": 4, ""sequence_length"": 128, ""d_key"": 128, ""d_value"": 16}",0.18192966672359034,0.17264833331864793,0.20644394925620607,565428224,4.0,4.0,512,2814274.379878311,0.3553313803195124,0.0,0.0,0.0,0.0
