architecture,length_regime,task,examples,teacher_forced_exact_rate,token_accuracy,target_nll,autoregressive_examples,autoregressive_exact_rate
transformer,trained_length,associative_recall,24,0.0,0.0625,2.409252554178238,4,0.0
transformer,trained_length,variable_tracking,24,0.0,0.10416666666666667,2.4332357048988342,4,0.0
transformer,trained_length,repeated_name_recall,24,0.125,0.7787610619469026,0.9882567941615011,4,0.25
transformer,trained_length,exact_value_retrieval,24,0.0,0.06666666666666667,2.4705025513966876,4,0.0
transformer,trained_length,in_context_regression,24,0.0,0.28,2.7155031108856202,4,0.0
transformer,trained_length,multi_hop,24,0.08333333333333333,0.08333333333333333,4.0009048481782274,4,0.0
transformer,long_context,associative_recall,12,0.0,0.041666666666666664,2.323558191458384,4,0.0
transformer,long_context,variable_tracking,12,0.0,0.125,2.3919148047765098,4,0.0
transformer,long_context,repeated_name_recall,12,0.0,0.0392156862745098,5.212376968533385,4,0.0
transformer,long_context,exact_value_retrieval,12,0.0,0.03333333333333333,2.4797930240631105,4,0.0
transformer,long_context,in_context_regression,12,0.0,0.43478260869565216,2.279385701469753,4,0.0
transformer,long_context,multi_hop,12,0.08333333333333333,0.08333333333333333,3.8488068679968515,4,0.0
csm,trained_length,associative_recall,24,0.0,0.0,2.6392171879609427,4,0.0
csm,trained_length,variable_tracking,24,0.0,0.0625,2.6016208827495575,4,0.0
csm,trained_length,repeated_name_recall,24,0.0,0.49557522123893805,1.455122888615701,4,0.0
csm,trained_length,exact_value_retrieval,24,0.0,0.075,2.554371174176534,4,0.0
csm,trained_length,in_context_regression,24,0.0,0.32,2.3387410926818846,4,0.0
csm,trained_length,multi_hop,24,0.041666666666666664,0.041666666666666664,3.7457036773363748,4,0.0
csm,long_context,associative_recall,12,0.0,0.0,2.6685558756192527,4,0.0
csm,long_context,variable_tracking,12,0.08333333333333333,0.08333333333333333,2.5318534771601358,4,0.0
csm,long_context,repeated_name_recall,12,0.0,0.09803921568627451,4.02993231193692,4,0.0
csm,long_context,exact_value_retrieval,12,0.0,0.08333333333333333,2.4786470413208006,4,0.0
csm,long_context,in_context_regression,12,0.08333333333333333,0.4782608695652174,2.0090642079063086,4,0.0
csm,long_context,multi_hop,12,0.08333333333333333,0.08333333333333333,4.002053141593933,4,0.0
hybrid,trained_length,associative_recall,24,0.0,0.041666666666666664,2.508672366539637,4,0.0
hybrid,trained_length,variable_tracking,24,0.0,0.0625,2.5602832535902658,4,0.0
hybrid,trained_length,repeated_name_recall,24,0.0,0.6017699115044248,1.2232216649350867,4,0.0
hybrid,trained_length,exact_value_retrieval,24,0.0,0.09166666666666666,2.42992262840271,4,0.0
hybrid,trained_length,in_context_regression,24,0.0,0.26,2.305896978378296,4,0.0
hybrid,trained_length,multi_hop,24,0.0,0.0,3.887922525405884,4,0.0
hybrid,long_context,associative_recall,12,0.0,0.0,2.4315176407496133,4,0.0
hybrid,long_context,variable_tracking,12,0.0,0.041666666666666664,2.7347418467203775,4,0.0
hybrid,long_context,repeated_name_recall,12,0.0,0.09803921568627451,3.738070057887657,4,0.0
hybrid,long_context,exact_value_retrieval,12,0.0,0.11666666666666667,2.3842905044555662,4,0.0
hybrid,long_context,in_context_regression,12,0.0,0.34782608695652173,2.1187795763430386,4,0.0
hybrid,long_context,multi_hop,12,0.0,0.0,4.518404503663381,4,0.0
recurrent,trained_length,associative_recall,24,0.0,0.125,2.271712601184845,4,0.0
recurrent,trained_length,variable_tracking,24,0.0,0.10416666666666667,2.280249019463857,4,0.0
recurrent,trained_length,repeated_name_recall,24,0.125,0.7433628318584071,0.512488782933328,4,0.25
recurrent,trained_length,exact_value_retrieval,24,0.0,0.13333333333333333,2.3228607813517255,4,0.0
recurrent,trained_length,in_context_regression,24,0.0,0.4,1.9566052389144897,4,0.0
recurrent,trained_length,multi_hop,24,0.08333333333333333,0.08333333333333333,3.421907057364782,4,0.0
recurrent,long_context,associative_recall,12,0.0,0.08333333333333333,2.274795631567637,4,0.0
recurrent,long_context,variable_tracking,12,0.08333333333333333,0.16666666666666666,2.2771385510762534,4,0.0
recurrent,long_context,repeated_name_recall,12,0.0,0.0392156862745098,6.059857312370749,4,0.0
recurrent,long_context,exact_value_retrieval,12,0.0,0.15,2.30222905476888,4,0.0
recurrent,long_context,in_context_regression,12,0.08333333333333333,0.43478260869565216,1.8207511590874714,4,0.0
recurrent,long_context,multi_hop,12,0.0,0.0,3.6517840226491294,4,0.0
