architecture,step,tokens,loss,gradient_norm,learning_rate
transformer,1,8192,5.534247398376465,3.6288955211639404,5.999999999999999e-06
transformer,50,409600,3.749427556991577,1.465564489364624,0.00015299999999999998
transformer,100,819200,3.337794780731201,0.47704899311065674,0.0003
transformer,150,1228800,3.477105140686035,0.24526447057724,0.0002986744519204201
transformer,200,1638400,3.4653072357177734,0.31591734290122986,0.0002947238384625884
transformer,250,2048000,3.210733652114868,0.568445086479187,0.000288225740783278
transformer,300,2457600,2.9419784545898438,2.688729763031006,0.0002793077668958183
transformer,350,2867200,2.8113746643066406,1.2063020467758179,0.00026814504573591697
transformer,400,3276800,2.7845144271850586,6.5593061447143555,0.00025495678802352055
transformer,450,3686400,2.6069204807281494,2.9965357780456543,0.0002400019814576463
transformer,500,4096000,2.557265043258667,3.6572227478027344,0.0002235743047808703
transformer,550,4505600,2.4751393795013428,2.726550817489624,0.00020599636058979797
transformer,600,4915200,2.4582974910736084,1.6589207649230957,0.0001876133401461394
transformer,650,5324800,2.3721938133239746,2.683755874633789,0.00016878624459724232
transformer,700,5734400,2.3188343048095703,1.307230830192566,0.00014988479572605344
transformer,750,6144000,2.1942267417907715,1.9586046934127808,0.00013128017544742433
transformer,800,6553600,2.158604621887207,3.083434581756592,0.00011333773663071288
transformer,850,6963200,2.094613552093506,1.3888808488845825,9.640982839171855e-05
transformer,900,7372800,2.1377086639404297,1.4937454462051392,8.082887674907099e-05
transformer,950,7782400,2.058082103729248,2.7663981914520264,6.690085652540637e-05
transformer,1000,8192000,2.141951084136963,1.989031195640564,5.489928269049988e-05
transformer,1050,8601600,1.9681382179260254,2.473336696624756,4.505983914285226e-05
transformer,1100,9011200,1.9424381256103516,2.557783365249634,3.757575040837037e-05
transformer,1150,9420800,1.9387412071228027,1.4843052625656128,3.259398714556389e-05
transformer,1200,9830400,1.9209034442901611,1.3043060302734375,3.0212379972594758e-05
transformer,1221,10002432,1.95780611038208,2.893057346343994,2.9999999999999997e-05
csm,1,8192,5.523044586181641,3.494448184967041,5.999999999999999e-06
csm,50,409600,3.823409080505371,1.426716923713684,0.00015299999999999998
csm,100,819200,3.458247184753418,0.20260308682918549,0.0003
csm,150,1228800,3.424696922302246,0.16976946592330933,0.0002986744519204201
csm,200,1638400,3.3918824195861816,7.7276082038879395,0.0002947238384625884
csm,250,2048000,3.003383159637451,10.617363929748535,0.000288225740783278
csm,300,2457600,2.9033870697021484,9.479144096374512,0.0002793077668958183
csm,350,2867200,2.8464016914367676,12.574894905090332,0.00026814504573591697
csm,400,3276800,2.6860761642456055,9.28471565246582,0.00025495678802352055
csm,450,3686400,2.6811342239379883,7.154275894165039,0.0002400019814576463
csm,500,4096000,2.5681731700897217,3.7252392768859863,0.0002235743047808703
csm,550,4505600,2.5700631141662598,4.621642589569092,0.00020599636058979797
csm,600,4915200,2.4895212650299072,4.821953773498535,0.0001876133401461394
csm,650,5324800,2.481398105621338,5.214987277984619,0.00016878624459724232
csm,700,5734400,2.3446645736694336,2.806847095489502,0.00014988479572605344
csm,750,6144000,2.406212329864502,2.840736150741577,0.00013128017544742433
csm,800,6553600,2.336650848388672,3.7739198207855225,0.00011333773663071288
csm,850,6963200,2.2971420288085938,5.192337989807129,9.640982839171855e-05
csm,900,7372800,2.287043571472168,5.443708896636963,8.082887674907099e-05
csm,950,7782400,2.2136175632476807,3.137402057647705,6.690085652540637e-05
csm,1000,8192000,2.2833080291748047,2.352397918701172,5.489928269049988e-05
csm,1050,8601600,2.1281943321228027,2.917438507080078,4.505983914285226e-05
csm,1100,9011200,2.202388286590576,2.6792945861816406,3.757575040837037e-05
csm,1150,9420800,2.2052600383758545,3.0771331787109375,3.259398714556389e-05
csm,1200,9830400,2.1874589920043945,2.719102621078491,3.0212379972594758e-05
csm,1221,10002432,2.0460667610168457,2.5360841751098633,2.9999999999999997e-05
hybrid,1,8192,5.633254528045654,3.709824562072754,5.999999999999999e-06
hybrid,50,409600,3.7954885959625244,1.41713285446167,0.00015299999999999998
hybrid,100,819200,3.5705578327178955,0.3457912802696228,0.0003
