architecture,context_length,batch_size,forward_milliseconds,timing_cv,tokens_per_second,peak_vram_bytes,recurrent_state_bytes
transformer,32,4,2.174098999603302,0.04448869609410235,58874.96384633615,329721344,917504
transformer,64,4,2.067751000140561,0.01724655951057312,123806.00951594158,330442240,1835008
transformer,128,4,2.0588269999279873,0.0074503087641096,248685.29508205812,332146176,3670016
transformer,256,4,2.0898630009469343,0.01149784670044008,489984.2714742627,335816192,7340032
transformer,512,4,2.0920320002915105,0.016732310988030394,978952.5206663307,343156224,14680064
csm,32,4,7.504002000132459,0.024093661214452097,17057.56474981491,601903104,688128
csm,64,4,7.477836999896681,0.038738197992378355,34234.49855934772,611975168,688128
csm,128,4,7.831254999473458,0.02846330501619593,65379.04844554606,632119296,688128
csm,256,4,8.803345999695011,0.026803996482202462,116319.40855618718,672407552,688128
csm,512,4,10.544277000008151,0.01877367787370831,194228.58485208772,752984064,688128
hybrid,32,4,5.109091000122135,0.02883255659986662,25053.380336529553,623386624,819200
hybrid,64,4,4.940994000207866,0.016120532505087375,51811.437129701066,633458688,1343488
hybrid,128,4,5.005176999475225,0.005576334806990802,102294.08471542194,653602816,1343488
hybrid,256,4,5.435758001112845,0.00759438078916358,188382.19063290895,693891072,1343488
hybrid,512,4,6.100615000832477,0.007690184296337514,335703.85931918904,774467584,1343488
recurrent,32,4,12.812623999707284,0.0047913646381164575,9990.147217535165,627566080,28672
recurrent,64,4,21.587451001323643,0.04908055074373185,11858.741450498406,628160512,28672
recurrent,128,4,40.312772000106634,0.011290064737135263,12700.689498569975,629602304,28672
recurrent,256,4,75.95014800062927,0.020973401216894217,13482.52803920166,633122304,28672
recurrent,512,4,147.05555399996229,0.016010932444123722,13926.709629753428,640462336,28672
